state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-18,Millibars,None,24,100.0,996.958333,999.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-19,Millibars,None,24,100.0,1002.5,1006.0,22,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-20,Millibars,None,24,100.0,1007.291667,1009.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-21,Millibars,None,24,100.0,1001.833333,1006.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-22,Millibars,None,24,100.0,999.125,1005.0,23,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-23,Millibars,None,24,100.0,1008.166667,1011.0,10,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-24,Millibars,None,24,100.0,1000.333333,1008.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-25,Millibars,None,24,100.0,1001.833333,1007.0,21,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-26,Millibars,None,24,100.0,1011.0,1013.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-27,Millibars,None,24,100.0,1012.25,1014.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-28,Millibars,None,24,100.0,1007.916667,1011.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
